product_id,brand,product_name,award_theme,category,subcategory,concern,award_rank
P00058,더마펌,수딩 리페어 토닝 크림 R4,글로벌 픽,스킨케어,크림,브라이트닝,1
P00041,마리엔메이,트라넥사믹산 글루타티온 아이크림,글로벌 픽,스킨케어,아이케어,브라이트닝,1
P00180,퓨리피아,메타바이옴 토너 패드,글로벌 픽,스킨케어,스킨/토너 패드,브라이트닝,1
P00285,지피덤,EGF 스킨 베리어 크림 토너,글로벌 픽,스킨케어,스킨/토너,안티에이징,1
P00038,코스알엑스,더 6 펩타이드 스킨 부스터 세럼,글로벌 픽,스킨케어,에센스/앰플/세럼,안티에이징,1
P00260,센텔리안24,마데카크림 타임리버스,글로벌 픽,스킨케어,크림,안티에이징,1
P00239,에스네이처,아쿠아 소이 요거 아이크림,글로벌 픽,스킨케어,아이케어,안티에이징,1
P00281,텐제로,핑크 히알루론산 나이아신아마이드 세럼 하트 패드,글로벌 픽,스킨케어,스킨/토너 패드,안티에이징,1
P00059,토리든,밸런스풀 시카 각질 토너,글로벌 픽,스킨케어,스킨/토너,각질,1
P00262,믹순,콩 에센스,글로벌 픽,스킨케어,에센스/앰플/세럼,각질,1
P00029,토리든,밸런스풀 시카 토너 패드,글로벌 픽,스킨케어,스킨/토너 패드,각질,1
P00084,닥터트웬티프로젝트,나인 토너,글로벌 픽,스킨케어,스킨/토너,트러블,1
P00076,셀라딕스,트러블 세범 리밸런싱 131 앰플,글로벌 픽,스킨케어,에센스/앰플/세럼,트러블,1
P00048,파티온,노스카나인 트러블 크림,글로벌 픽,스킨케어,크림,트러블,1
P00252,예스킨,닥터 예스키놀 젤 포르테,글로벌 픽,스킨케어,젤,트러블,1
P00108,리더스,PDRN 0.5% 앰플 미스트,글로벌 픽,스킨케어,미스트,오일,1
P00063,에스네이처,아쿠아 스쿠알란 미스트,글로벌 픽,스킨케어,미스트,워터,1
P00282,모토몬트,밀크티 미스트,글로벌 픽,스킨케어,미스트,크림,1
P00040,YBK,릴리프 하이드레이션 라이트 폼 클렌저,글로벌 픽,클렌징/필링,클렌징 폼,진정,1
P00165,아누아,어성초 약산성 딥 클렌징 워터,글로벌 픽,클렌징/필링,클렌징 워터,진정,1
P00291,낫씨백,엔에스비케이 핑크 알로에 폼 클렌저,글로벌 픽,클렌징/필링,클렌징 젤,진정,1
P00082,아비브,어성초 흔적 에센스 패드 클리어 터치,글로벌 픽,클렌징/필링,스크럽/필링 패드,진정,1
P00079,션리,다시마 앰플 클렌징폼,글로벌 픽,클렌징/필링,클렌징 폼,모공,1
P00051,비플레인,녹두 클렌징 워터,글로벌 픽,클렌징/필링,클렌징 워터,모공,1
P00015,토리든,밸런스풀 시카 클렌징 젤,글로벌 픽,클렌징/필링,클렌징 젤,모공,1
P00072,비플레인,녹두 클렌징 오일,글로벌 픽,클렌징/필링,클렌징 오일,모공,1
P00043,일소,슈퍼 멜팅 세범 소프트너,글로벌 픽,클렌징/필링,스크럽/필링,모공,1
P00294,비플레인,녹두 모공 클리어링 필터 패드,글로벌 픽,클렌징/필링,스크럽/필링 패드,모공,1
P00077,리브엠,엔자임 클렌징 파우더,글로벌 픽,클렌징/필링,클렌징 파우더,모공,1
P00093,에스네이처,아쿠아 라이스 클렌징 밤,글로벌 픽,클렌징/필링,클렌징 밤,모공,1
P00020,토리든,다이브인 저분자 히알루론산 클렌징 폼,글로벌 픽,클렌징/필링,클렌징 폼,수분,1
P00027,코스알엑스,약산성 나이아신아마이드 미셀라 클렌징 워터,글로벌 픽,클렌징/필링,클렌징 워터,수분,1
P00092,라곰,젤 투 워터 클렌저,글로벌 픽,클렌징/필링,클렌징 젤,수분,1
P00068,리브엠,워터핏 8중 수분착붙 패드,글로벌 픽,클렌징/필링,스크럽/필링 패드,수분,1
P00111,프리메이,햇쌀 데일리 폼 클렌저,글로벌 픽,클렌징/필링,클렌징 폼,보습,1
P00247,토리든,다이브인 저분자 히알루론산 클렌징 워터,글로벌 픽,클렌징/필링,클렌징 워터,보습,1
P00044,코스알엑스,약산성 굿모닝 젤 클렌저,글로벌 픽,클렌징/필링,클렌징 젤,보습,1
P00214,메이크프렘,세이프 미 릴리프 모이스처 클렌징 밀크,글로벌 픽,클렌징/필링,클렌징 로션/크림,보습,1
P00180,퓨리피아,메타바이옴 토너 패드,글로벌 픽,클렌징/필링,스크럽/필링 패드,브라이트닝,1
P00078,리브엠,시카좀 카밍 딥 클렌징폼,글로벌 픽,클렌징/필링,클렌징 폼,각질,1
P00033,비플레인,녹두 밀크 필링 젤,글로벌 픽,클렌징/필링,스크럽/필링,각질,1
P00013,셀리맥스,지우개패드,글로벌 픽,클렌징/필링,스크럽/필링 패드,각질,1
P00265,아임프롬,피그 엔자임 파우더 클렌저,글로벌 픽,클렌징/필링,클렌징 파우더,각질,1
P00045,토리든,밸런스풀 시카 포어 클렌징 폼,글로벌 픽,클렌징/필링,클렌징 폼,트러블,1
P00028,메이크프렘,인테카 수딩 클렌징 폼,글로벌 픽,클렌징/필링,클렌징 젤,트러블,1
P00080,신스루,워터리 설퍼 모공 클렌징 파우더,글로벌 픽,클렌징/필링,클렌징 파우더,트러블,1
P00036,프리메이,올리브 시카 카밍 앰플 마스크,글로벌 픽,마스크/팩,시트마스크,진정,1
P00233,이수연코스메틱,인텐시브 팩 2,글로벌 픽,마스크/팩,워시오프 팩,진정,1
P00037,토니모리,어성초시카 쿨링 수분 크림,글로벌 픽,마스크/팩,슬리핑팩,진정,1
P00274,르메이엘,쿨링 앤 카밍 아이싱랩,글로벌 픽,마스크/팩,부분마스크 패드,진정,1
P00299,말따,콜라겐 안티세범피 하이드로겔 오버나이트 마스크 앤 부스터샷,글로벌 픽,마스크/팩,시트마스크,모공,1
P00086,아페리레,비 프로즌 빙하토 모공팩,글로벌 픽,마스크/팩,워시오프 팩,모공,1
P00053,풀리,그린 토마토 크림,글로벌 픽,마스크/팩,슬리핑팩,모공,1
P00035,메디힐,블랙헤드 멜팅 클리어 코팩,글로벌 픽,마스크/팩,코팩,모공,1
P00294,비플레인,녹두 모공 클리어링 필터 패드,글로벌 픽,마스크/팩,부분마스크 패드,모공,1
P00022,에스네이처,수퍼 아쿠아겔 오아시스 앰플 마스크,글로벌 픽,마스크/팩,시트마스크,수분,1
P00261,일루미엘,물결 수분 네모패드,글로벌 픽,마스크/팩,부분마스크 패드,수분,1
P00134,션리,다시마 콜라겐 퍼밍 마스크,글로벌 픽,마스크/팩,시트마스크,보습,1
P00065,조선미녀,맑은쌀 꿀채운 마스크,글로벌 픽,마스크/팩,워시오프 팩,보습,1
P00245,메디큐브,콜라겐 나이트 랩핑 마스크,글로벌 픽,마스크/팩,필오프 팩,보습,1
P00054,메디힐,마데카소사이드 에센셜 마스크 [흔적리페어],글로벌 픽,마스크/팩,시트마스크,브라이트닝,1
P00270,볼라보,피니쉬 랩핑 겔,글로벌 픽,마스크/팩,필오프 팩,브라이트닝,1
P00280,피캄,시카락토 엑소좀 45 슬리핑 마스크,글로벌 픽,마스크/팩,슬리핑팩,브라이트닝,1
P00248,메디힐,마데카소사이드 흔적패드,글로벌 픽,마스크/팩,부분마스크 패드,브라이트닝,1
P00066,메디힐,하이퍼 마스크 [콜라겐],글로벌 픽,마스크/팩,시트마스크,안티에이징,1
P00114,메디힐,콜라겐 캡슐패치 [레티놀],글로벌 픽,마스크/팩,부분마스크/팩,안티에이징,1
P00263,에이프릴스킨,핑크알로에 머랭솝,글로벌 픽,마스크/팩,워시오프 팩,트러블,1
P00019,파티온,노스카나인 스팟 패치,글로벌 픽,마스크/팩,패치,트러블,1
P00042,비플레인,시카테롤 블레미쉬 패드,글로벌 픽,마스크/팩,부분마스크 패드,트러블,1
P00143,구달,맑은 어성초 진정 수분 선크림 [SPF50+/PA++++],글로벌 픽,선케어,선크림/로션,진정,1
P00034,듀이트리,어반 쉐이드 쿨 카밍 선스틱 [SPF50+/PA++++],글로벌 픽,선케어,선스틱,진정,1
P00074,이즈앤트리,히알루론산 프레쉬 선 세럼 [SPF50+/PA++++],글로벌 픽,선케어,선크림/로션,모이스처,1
P00253,비오레,UV 아쿠아 리치 아쿠아 프로텍트 미스트 [SPF50/PA++++],글로벌 픽,선케어,선스프레이,모이스처,1
P00025,라운드랩,자작나무 수분 선스틱 [SPF50+/PA++++],글로벌 픽,선케어,선스틱,모이스처,1
P00004,라운드랩,자작나무 수분 선쿠션 [SPF50+/PA++++],글로벌 픽,선케어,선쿠션/팩트,모이스처,1
P00007,달바,워터풀 선크림 [SPF50+/PA++++] [톤업/핑크],글로벌 픽,선케어,선크림/로션,톤업,1
P00081,프레비츠,에어핏 선 피니싱 스틱 [SPF50+/PA++++] [02 클리어그린],글로벌 픽,선케어,선스틱,톤업,1
P00278,식물나라,워터프루프 선 스프레이 [SPF50+/PA++++],글로벌 픽,선케어,선스프레이,워터프루프,1
P00090,니얼지,에어터치 선스틱 [SPF50+/PA++++],글로벌 픽,선케어,선스틱,워터프루프,1
P00047,메이크프렘,유브이 디펜스 미 노세범 선크림 [SPF50+/PA++++],글로벌 픽,선케어,선크림/로션,노세범,1
P00267,더메디닥터,데이앤블루 UV 선미스트 [SPF50+/PA++++],글로벌 픽,선케어,선스프레이,노세범,1
P00243,토코보,코튼 소프트 선 스틱 [SPF50+/PA++++],글로벌 픽,선케어,선스틱,노세범,1
P00258,후시다인,더마 트러블 징크 카밍 선크림 [SPF50+/PA++++],글로벌 픽,선케어,선크림/로션,트러블,1
P00026,라보에이치,두피강화 클리닉 탈모증상완화 샴푸,글로벌 픽,헤어케어,샴푸,두피케어,1
P00135,프롬랩스,프로틴 캡슐 헤어 리페어 샴푸,글로벌 픽,헤어케어,샴푸,손상케어,1
P00009,미쟝센,퍼펙트 오리지널 세럼 컨디셔너,글로벌 픽,헤어케어,린스/컨디셔너,손상케어,1
P00094,프롬랩스,단백질 트리트먼트,글로벌 픽,헤어케어,트리트먼트/팩,손상케어,1
P00069,빌랑스,하나린 안티헤어로스 샴푸,글로벌 픽,헤어케어,샴푸,탈모케어,1
P00255,라보에이치,탈모증상완화 캡슐 트리트먼트,글로벌 픽,헤어케어,트리트먼트/팩,탈모케어,1
P00289,스미브,락토바이오 염색 샴푸 [블랙],글로벌 픽,헤어케어,샴푸,컬러케어,1
P00249,토리든,다이브인 저분자 히알루론산 세럼,올리브영 어워즈 2024,에센스/세럼,5년 연속 수상,,
P00097,에스트라,아토베리어365 크림,올리브영 어워즈 2024,크림,,,
P00256,비플레인,녹두 약산성 클렌징폼,올리브영 어워즈 2025,,,,
P00172,닥터지,레드 블레미쉬 클리어 수딩 크림,올리브영 어워즈 2025,크림,7년 연속 수상,,
P00097,에스트라,아토베리어365 크림,올리브영 어워즈 2025,크림,,,1
P00256,비플레인,녹두 약산성 클렌징폼,올리브영 어워즈 2024,,5년 연속 수상,,
P00017,에스네이처,아쿠아 스쿠알란 수분크림,올리브영 어워즈 2025,크림,3년 연속 수상,,3
P00075,아누아,PDRN 히알루론산 캡슐 100 세럼,영국 뷰티 어워즈 2025,Skin Hydration Hero,,,
P00286,일리윤,세라마이드 아토 로션,올리브영 어워즈 2021,바디보습,5년 연속 수상,,1
